# 12-month data for the NSC problem


set PRODUCTS := steel al;

param MONTHS := 12;

param ic := 120;
param MAX_PRODUCTION := 4000;
param INITIAL := 1000;
param FINAL := 1500;

param c: steel al := 
1 7400 	3400
2 7500 	3500
3 7600 	3600
4 7800 	3800
5 7353  3199
6 7813  3015
7 7010  3747
8 7139  3445
9 7203  3932
10 7199  3466
11 7604  3419
12 7272 3846;

param d: steel	al :=
1 2400 	1000
2 2200 	1200
3 2700	1400
4 2500	1600
5 2762  1738
6 2456  1176
7 2019  1406
8 2821  1935
9 2445  1917
10 2615 1410
11 2792 1894
12 2922 1058;
